tableName	attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Visit	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
Visit	SampleFrame	"Time frame that spring is sampled (3Yr, Annual, Inactive)"	character				
Visit	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
Visit	MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character				
Visit	SpringType	Hydrologic category of spring	character				
Visit	Notes	General comments pertaining to spring visit	character				
Visit	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character				
VisitActivity	Park	Four letter park code	character				
VisitActivity	SiteCode	Unique alphanumeric site code	character				
VisitActivity	SiteName	Descriptive name of the site	character				
VisitActivity	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD		
VisitActivity	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character				
VisitActivity	SpringType	Hydrologic category of spring	character				
VisitActivity	FlowCondition	Flow condition at time of visit	character				
VisitActivity	WQDataCollected	Indicates whether the amount of water at the spring was sufficient for wq measurements	character				
VisitActivity	InvasivesObserved	Indicates whether invasive species were observed at the spring	character				
VisitActivity	RiparianObserved	Indicates whether ripaarian species were observed at the spring	character				
VisitActivity	MistletoePresent	Indicates whether mistletoe was observed at the spring	character				
VisitActivity	WildlifeObserved	Indicates whether evidence of wildlife was observed at the spring	character				
VisitActivity	SpringbrookLength_Class	Spring brook length flag	character				
VisitActivity	SpringbrookWidth_m	Length of springbrook in meters	numeric	meter			
VisitActivity	SpringbrookLength_m	Width of springbrook in meters	numeric	meter			
VisitActivity	SampleFrame	"Time frame that spring is sampled (3Yr, Annual, Inactive)"	character				
VisitActivity	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
VisitActivity	MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character				
VisitActivity	WaterQualityNotes	Additional notes on the water quality of the spring	character				
WaterQualityDO	Park	Four letter park code	character				
WaterQualityDO	SiteCode	Four letter park code	character				
WaterQualityDO	SiteName	Unique alphanumeric site code	character				
WaterQualityDO	VisitDate	Descriptive name of the site	Date		YYYY-MM-DD		
WaterQualityDO	FieldSeason	Date that the monitoring occured	character				
WaterQualityDO	WQDataCollected	Indicates whether the amount of water at the spring was sufficient for wq measurements	character				
WaterQualityDO	DissolvedOxygen_percent	Percent measurement for Dissolved Oxygen	numeric	percent			
WaterQualityDO	DissolvedOxygen_mg_per_L	Measured value of Dissolved Oxygen in milligrams per liter	numeric	milligramsPerLiter			
WaterQualityDO	DataQualityFlag	"Data Quality Flag: No Flag, Information, Warning, Critical"	character				
WaterQualityDO	DataQualityFlagNote	Notes about data quality flag	character				
WaterQualityDO	DOInstrument	Water quality instrument used for measurement	character				
WaterQualityDO	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxillary, Unknown"	character				
WaterQualityDO	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character				
WaterQualityDO	MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character				
WaterQualitypH	Park	Four letter park code	character				
WaterQualitypH	SiteCode	Four letter park code	character				
WaterQualitypH	SiteName	Unique alphanumeric site code	character				
WaterQualitypH	VisitDate	Descriptive name of the site	Date		YYYY-MM-DD		
WaterQualitypH	FieldSeason	Date that the monitoring occured	character				
WaterQualitypH	WQDataCollected	Indicates whether the amount of water at the spring was sufficient for wq measurements	character				
WaterQualitypH	pH	Measurement of pH for Water Quality	numeric	dimensionless			
